id	url	distrito	barrio	price (€)	bedrooms	area (m2)	floor	lift	street type	street	street_number
95398558	https://www.idealista.com/inmueble/95398558/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	95999	3	100	0	no	calle	 san benito	30
101998283	https://www.idealista.com/inmueble/101998283/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	128000	4	80	3	yes	calle	 de haroldo parres	7
102742140	https://www.idealista.com/inmueble/102742140/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	87000	1	60	3	yes	calle	 enrique pérez cascales	4
102548694	https://www.idealista.com/inmueble/102548694/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	95000	2	65	6	yes			
102669470	https://www.idealista.com/inmueble/102669470/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	101000	3	70	3	no			
101937858	https://www.idealista.com/inmueble/101937858/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	131000	3	78	1	no			
101598632	https://www.idealista.com/inmueble/101598632/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	98900	3	100	2				
96927186	https://www.idealista.com/inmueble/96927186/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	88000	2	79	5	no	calle	 enrique monsonís domingo	62
103131263	https://www.idealista.com/inmueble/103131263/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	85000	3	89	3	no	calle	 de sant mateu	
102549163	https://www.idealista.com/inmueble/102549163/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	125000	3	81	1	no			
101288964	https://www.idealista.com/inmueble/101288964/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	99000	3	94	4	no			
102916687	https://www.idealista.com/inmueble/102916687/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	142700	4	139	1	no			14
103115292	https://www.idealista.com/inmueble/103115292/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	56800	2	62	7	no			
102796639	https://www.idealista.com/inmueble/102796639/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	49000	1	64	3	no			31
102828368	https://www.idealista.com/inmueble/102828368/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	94700	4	117	1	no			51
98799553	https://www.idealista.com/inmueble/98799553/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	15000	3	50	2	no			
31791317	https://www.idealista.com/inmueble/31791317/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	265000	3	140	8	yes			
32380776	https://www.idealista.com/inmueble/32380776/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	132000	3	75	5	yes	calle	 huesca	4
102678201	https://www.idealista.com/inmueble/102678201/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	72000	3	110	4	no			
103387951	https://www.idealista.com/inmueble/103387951/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	134900	3	75	5	yes			
102097917	https://www.idealista.com/inmueble/102097917/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	119000	3	90	1	no			
101533351	https://www.idealista.com/inmueble/101533351/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	95000	3	103	2	no	calle	 antonio maura	18
103077625	https://www.idealista.com/inmueble/103077625/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	127000	2	51	1	no			
102486874	https://www.idealista.com/inmueble/102486874/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	169900	3	112	5	yes			
100871689	https://www.idealista.com/inmueble/100871689/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	107000	2	80	4	no	calle	 doña dolsa	
103240837	https://www.idealista.com/inmueble/103240837/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	105000	2	75	0	yes	avenida	 del padre esplá	
102256027	https://www.idealista.com/inmueble/102256027/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	136300	3	98		no	calle	 san ignacio loyola	
103127278	https://www.idealista.com/inmueble/103127278/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	99500	3	95	5	no			s/n
103406864	https://www.idealista.com/inmueble/103406864/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	92000	2	73	3	yes	calle	 huesca	4
102861068	https://www.idealista.com/inmueble/102861068/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	105000	3	121	1	no	avenida	 denia	
102294535	https://www.idealista.com/inmueble/102294535/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	120000	3	110	3	no	calle	 san benito	
102129847	https://www.idealista.com/inmueble/102129847/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	78000	2	69	4	no	calle	 virgen de las injurias	
101132926	https://www.idealista.com/inmueble/101132926/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	155000	3	95	4				
103099932	https://www.idealista.com/inmueble/103099932/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	169000	5	145	4	yes			
103043758	https://www.idealista.com/inmueble/103043758/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	95000	3	85	2	no	calle	 antonio maura	
96545628	https://www.idealista.com/inmueble/96545628/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	189000	3	100	1	yes	calle	 del arquitecto vidal	
101008356	https://www.idealista.com/inmueble/101008356/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	99000	3	94	4	no			
102425195	https://www.idealista.com/inmueble/102425195/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	129000	3	79	1	no			
101294924	https://www.idealista.com/inmueble/101294924/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	99500	3	81	2	no			
102093507	https://www.idealista.com/inmueble/102093507/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	114000	3	90	1	no			
101195805	https://www.idealista.com/inmueble/101195805/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	119900	1	49	0	no	calle	 turina 1 s/n	s/n
103075958	https://www.idealista.com/inmueble/103075958/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	90000	2	65	1	yes			
92322626	https://www.idealista.com/inmueble/92322626/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	149000	3	120	3	no	calle	 doctor nieto	
99944328	https://www.idealista.com/inmueble/99944328/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	172000	3	75	2	yes	calle	 ingeniero canales	41
100268030	https://www.idealista.com/inmueble/100268030/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	94900	2	69	1	no	calle	 algar	
102916745	https://www.idealista.com/inmueble/102916745/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	64500	3	57	4	no			
103129916	https://www.idealista.com/inmueble/103129916/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	94000	3	72	3	no			1
98697045	https://www.idealista.com/inmueble/98697045/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	99000	3	101	4	no			
